task_id,request,taxonomy,selector,selected_service_id,selected_display_name,best_service_id,best_display_name,utility,best_utility,regret,alignment_score,constraint_violation,feasible_candidates,cost_per_unit,quality_score,latency_seconds,uptime,reasoning
3,"I need a low-cost general chat model, but it still needs strong quality and reasonable latency.",ai.llm.chat,fastest_first,openai/gpt-4o@2024-11-20,GPT-4o,openai/gpt-4o@2024-11-20,GPT-4o,0.9083,0.9083,0.0,1.0,False,3,7.75e-06,0.8083333333333333,0.6,0.999,fastest_first matched the zero-regret ASM-TOPSIS choice for this request.
3,"I need a low-cost general chat model, but it still needs strong quality and reasonable latency.",ai.llm.chat,highest_quality_first,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,openai/gpt-4o@2024-11-20,GPT-4o,0.7394,0.9083,0.1689,0.814,False,3,7.375e-06,0.8333333333333334,1.5,0.999,highest_quality_first optimized a narrower rule and missed the preference-weighted best feasible service.
3,"I need a low-cost general chat model, but it still needs strong quality and reasonable latency.",ai.llm.chat,highest_reliability_first,anthropic/claude-sonnet-4@4.0,Claude Sonnet 4,openai/gpt-4o@2024-11-20,GPT-4o,0.2148,0.9083,0.6935,0.2365,False,3,1.14e-05,0.8166666666666667,0.8,0.999,highest_reliability_first optimized a narrower rule and missed the preference-weighted best feasible service.
3,"I need a low-cost general chat model, but it still needs strong quality and reasonable latency.",ai.llm.chat,random,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,openai/gpt-4o@2024-11-20,GPT-4o,0.7394,0.9083,0.1689,0.814,False,3,7.375e-06,0.8333333333333334,1.5,0.999,random optimized a narrower rule and missed the preference-weighted best feasible service.
4,I need the best chat model quality for a reasoning-heavy analysis task; cost is not important.,ai.llm.chat,asm_topsis,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,0.5341,0.5341,0.0,1.0,False,3,7.375e-06,0.8333333333333334,1.5,0.999,Selected by constraint filtering plus preference-weighted TOPSIS.
4,I need the best chat model quality for a reasoning-heavy analysis task; cost is not important.,ai.llm.chat,weighted_average,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,0.5341,0.5341,0.0,1.0,False,3,7.375e-06,0.8333333333333334,1.5,0.999,weighted_average matched the zero-regret ASM-TOPSIS choice for this request.
4,I need the best chat model quality for a reasoning-heavy analysis task; cost is not important.,ai.llm.chat,cheapest_first,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,0.5341,0.5341,0.0,1.0,False,3,7.375e-06,0.8333333333333334,1.5,0.999,cheapest_first matched the zero-regret ASM-TOPSIS choice for this request.
4,I need the best chat model quality for a reasoning-heavy analysis task; cost is not important.,ai.llm.chat,fastest_first,openai/gpt-4o@2024-11-20,GPT-4o,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,0.4891,0.5341,0.045,0.9157,False,3,7.75e-06,0.8083333333333333,0.6,0.999,fastest_first optimized a narrower rule and missed the preference-weighted best feasible service.
4,I need the best chat model quality for a reasoning-heavy analysis task; cost is not important.,ai.llm.chat,highest_quality_first,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,0.5341,0.5341,0.0,1.0,False,3,7.375e-06,0.8333333333333334,1.5,0.999,highest_quality_first matched the zero-regret ASM-TOPSIS choice for this request.
4,I need the best chat model quality for a reasoning-heavy analysis task; cost is not important.,ai.llm.chat,highest_reliability_first,anthropic/claude-sonnet-4@4.0,Claude Sonnet 4,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,0.5067,0.5341,0.0274,0.9487,False,3,1.14e-05,0.8166666666666667,0.8,0.999,highest_reliability_first optimized a narrower rule and missed the preference-weighted best feasible service.
4,I need the best chat model quality for a reasoning-heavy analysis task; cost is not important.,ai.llm.chat,random,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,0.5341,0.5341,0.0,1.0,False,3,7.375e-06,0.8333333333333334,1.5,0.999,random matched the zero-regret ASM-TOPSIS choice for this request.
5,I need a low-latency chat model for an interactive support agent.,ai.llm.chat,asm_topsis,openai/gpt-4o@2024-11-20,GPT-4o,openai/gpt-4o@2024-11-20,GPT-4o,0.9873,0.9873,0.0,1.0,False,2,7.75e-06,0.8083333333333333,0.6,0.999,Selected by constraint filtering plus preference-weighted TOPSIS.
5,I need a low-latency chat model for an interactive support agent.,ai.llm.chat,weighted_average,openai/gpt-4o@2024-11-20,GPT-4o,openai/gpt-4o@2024-11-20,GPT-4o,0.9873,0.9873,0.0,1.0,False,2,7.75e-06,0.8083333333333333,0.6,0.999,weighted_average matched the zero-regret ASM-TOPSIS choice for this request.
5,I need a low-latency chat model for an interactive support agent.,ai.llm.chat,cheapest_first,openai/gpt-4o@2024-11-20,GPT-4o,openai/gpt-4o@2024-11-20,GPT-4o,0.9873,0.9873,0.0,1.0,False,2,7.75e-06,0.8083333333333333,0.6,0.999,cheapest_first matched the zero-regret ASM-TOPSIS choice for this request.
5,I need a low-latency chat model for an interactive support agent.,ai.llm.chat,fastest_first,openai/gpt-4o@2024-11-20,GPT-4o,openai/gpt-4o@2024-11-20,GPT-4o,0.9873,0.9873,0.0,1.0,False,2,7.75e-06,0.8083333333333333,0.6,0.999,fastest_first matched the zero-regret ASM-TOPSIS choice for this request.
5,I need a low-latency chat model for an interactive support agent.,ai.llm.chat,highest_quality_first,anthropic/claude-sonnet-4@4.0,Claude Sonnet 4,openai/gpt-4o@2024-11-20,GPT-4o,0.0127,0.9873,0.9746,0.0129,False,2,1.14e-05,0.8166666666666667,0.8,0.999,highest_quality_first optimized a narrower rule and missed the preference-weighted best feasible service.
5,I need a low-latency chat model for an interactive support agent.,ai.llm.chat,highest_reliability_first,anthropic/claude-sonnet-4@4.0,Claude Sonnet 4,openai/gpt-4o@2024-11-20,GPT-4o,0.0127,0.9873,0.9746,0.0129,False,2,1.14e-05,0.8166666666666667,0.8,0.999,highest_reliability_first optimized a narrower rule and missed the preference-weighted best feasible service.
5,I need a low-latency chat model for an interactive support agent.,ai.llm.chat,random,openai/gpt-4o@2024-11-20,GPT-4o,openai/gpt-4o@2024-11-20,GPT-4o,0.9873,0.9873,0.0,1.0,False,2,7.75e-06,0.8083333333333333,0.6,0.999,random matched the zero-regret ASM-TOPSIS choice for this request.
6,I need embeddings for a high-volume RAG pipeline and want to minimize cost without falling below acceptable benchmark quality.,ai.llm.embedding,asm_topsis,openai/text-embedding-3-large@3.0,text-embedding-3-large,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.9696,0.9696,0.0,1.0,False,2,1.3e-07,0.6459999999999999,0.1,0.999,Selected by constraint filtering plus preference-weighted TOPSIS.
6,I need embeddings for a high-volume RAG pipeline and want to minimize cost without falling below acceptable benchmark quality.,ai.llm.embedding,weighted_average,openai/text-embedding-3-large@3.0,text-embedding-3-large,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.9696,0.9696,0.0,1.0,False,2,1.3e-07,0.6459999999999999,0.1,0.999,weighted_average matched the zero-regret ASM-TOPSIS choice for this request.
6,I need embeddings for a high-volume RAG pipeline and want to minimize cost without falling below acceptable benchmark quality.,ai.llm.embedding,cheapest_first,openai/text-embedding-3-large@3.0,text-embedding-3-large,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.9696,0.9696,0.0,1.0,False,2,1.3e-07,0.6459999999999999,0.1,0.999,cheapest_first matched the zero-regret ASM-TOPSIS choice for this request.
6,I need embeddings for a high-volume RAG pipeline and want to minimize cost without falling below acceptable benchmark quality.,ai.llm.embedding,fastest_first,openai/text-embedding-3-large@3.0,text-embedding-3-large,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.9696,0.9696,0.0,1.0,False,2,1.3e-07,0.6459999999999999,0.1,0.999,fastest_first matched the zero-regret ASM-TOPSIS choice for this request.
6,I need embeddings for a high-volume RAG pipeline and want to minimize cost without falling below acceptable benchmark quality.,ai.llm.embedding,highest_quality_first,voyageai/voyage-3-large@3.0,Voyage 3 Large,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.0304,0.9696,0.9392,0.0314,False,2,1.8e-07,0.662,0.15,0.998,highest_quality_first optimized a narrower rule and missed the preference-weighted best feasible service.
6,I need embeddings for a high-volume RAG pipeline and want to minimize cost without falling below acceptable benchmark quality.,ai.llm.embedding,highest_reliability_first,openai/text-embedding-3-large@3.0,text-embedding-3-large,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.9696,0.9696,0.0,1.0,False,2,1.3e-07,0.6459999999999999,0.1,0.999,highest_reliability_first matched the zero-regret ASM-TOPSIS choice for this request.
6,I need embeddings for a high-volume RAG pipeline and want to minimize cost without falling below acceptable benchmark quality.,ai.llm.embedding,random,openai/text-embedding-3-large@3.0,text-embedding-3-large,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.9696,0.9696,0.0,1.0,False,2,1.3e-07,0.6459999999999999,0.1,0.999,random matched the zero-regret ASM-TOPSIS choice for this request.
7,I need embeddings for a quality-sensitive retrieval benchmark; benchmark quality dominates cost.,ai.llm.embedding,asm_topsis,voyageai/voyage-3-large@3.0,Voyage 3 Large,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.6297,0.6297,0.0,1.0,False,2,1.8e-07,0.662,0.15,0.998,Selected by constraint filtering plus preference-weighted TOPSIS.
7,I need embeddings for a quality-sensitive retrieval benchmark; benchmark quality dominates cost.,ai.llm.embedding,weighted_average,voyageai/voyage-3-large@3.0,Voyage 3 Large,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.6297,0.6297,0.0,1.0,False,2,1.8e-07,0.662,0.15,0.998,weighted_average matched the zero-regret ASM-TOPSIS choice for this request.
7,I need embeddings for a quality-sensitive retrieval benchmark; benchmark quality dominates cost.,ai.llm.embedding,cheapest_first,openai/text-embedding-3-large@3.0,text-embedding-3-large,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.3703,0.6297,0.2594,0.5881,False,2,1.3e-07,0.6459999999999999,0.1,0.999,cheapest_first optimized a narrower rule and missed the preference-weighted best feasible service.
7,I need embeddings for a quality-sensitive retrieval benchmark; benchmark quality dominates cost.,ai.llm.embedding,fastest_first,openai/text-embedding-3-large@3.0,text-embedding-3-large,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.3703,0.6297,0.2594,0.5881,False,2,1.3e-07,0.6459999999999999,0.1,0.999,fastest_first optimized a narrower rule and missed the preference-weighted best feasible service.
7,I need embeddings for a quality-sensitive retrieval benchmark; benchmark quality dominates cost.,ai.llm.embedding,highest_quality_first,voyageai/voyage-3-large@3.0,Voyage 3 Large,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.6297,0.6297,0.0,1.0,False,2,1.8e-07,0.662,0.15,0.998,highest_quality_first matched the zero-regret ASM-TOPSIS choice for this request.
7,I need embeddings for a quality-sensitive retrieval benchmark; benchmark quality dominates cost.,ai.llm.embedding,highest_reliability_first,openai/text-embedding-3-large@3.0,text-embedding-3-large,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.3703,0.6297,0.2594,0.5881,False,2,1.3e-07,0.6459999999999999,0.1,0.999,highest_reliability_first optimized a narrower rule and missed the preference-weighted best feasible service.
7,I need embeddings for a quality-sensitive retrieval benchmark; benchmark quality dominates cost.,ai.llm.embedding,random,voyageai/voyage-3-large@3.0,Voyage 3 Large,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.6297,0.6297,0.0,1.0,False,2,1.8e-07,0.662,0.15,0.998,random matched the zero-regret ASM-TOPSIS choice for this request.
8,I need the highest-quality image generator for advertising assets; latency under 15 seconds is acceptable.,ai.vision.image_generation,asm_topsis,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.9981,0.9981,0.0,1.0,False,3,0.04,0.904,8.0,0.995,Selected by constraint filtering plus preference-weighted TOPSIS.
8,I need the highest-quality image generator for advertising assets; latency under 15 seconds is acceptable.,ai.vision.image_generation,weighted_average,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.9981,0.9981,0.0,1.0,False,3,0.04,0.904,8.0,0.995,weighted_average matched the zero-regret ASM-TOPSIS choice for this request.
8,I need the highest-quality image generator for advertising assets; latency under 15 seconds is acceptable.,ai.vision.image_generation,cheapest_first,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.9981,0.9981,0.0,1.0,False,3,0.04,0.904,8.0,0.995,cheapest_first matched the zero-regret ASM-TOPSIS choice for this request.
8,I need the highest-quality image generator for advertising assets; latency under 15 seconds is acceptable.,ai.vision.image_generation,fastest_first,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.9981,0.9981,0.0,1.0,False,3,0.04,0.904,8.0,0.995,fastest_first matched the zero-regret ASM-TOPSIS choice for this request.
8,I need the highest-quality image generator for advertising assets; latency under 15 seconds is acceptable.,ai.vision.image_generation,highest_quality_first,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.9981,0.9981,0.0,1.0,False,3,0.04,0.904,8.0,0.995,highest_quality_first matched the zero-regret ASM-TOPSIS choice for this request.
8,I need the highest-quality image generator for advertising assets; latency under 15 seconds is acceptable.,ai.vision.image_generation,highest_reliability_first,google/imagen-3@3.0,Imagen 3,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.246,0.9981,0.7521,0.2465,False,3,0.04,0.72,10.0,0.999,highest_reliability_first optimized a narrower rule and missed the preference-weighted best feasible service.
8,I need the highest-quality image generator for advertising assets; latency under 15 seconds is acceptable.,ai.vision.image_generation,random,openai/dall-e-3@3.0,DALL-E 3,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.0019,0.9981,0.9962,0.0019,False,3,0.04,0.67,12.0,0.999,random optimized a narrower rule and missed the preference-weighted best feasible service.
9,I need image generation for a batch workflow where speed matters more than small quality differences.,ai.vision.image_generation,asm_topsis,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.9982,0.9982,0.0,1.0,False,3,0.04,0.904,8.0,0.995,Selected by constraint filtering plus preference-weighted TOPSIS.
9,I need image generation for a batch workflow where speed matters more than small quality differences.,ai.vision.image_generation,weighted_average,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.9982,0.9982,0.0,1.0,False,3,0.04,0.904,8.0,0.995,weighted_average matched the zero-regret ASM-TOPSIS choice for this request.
9,I need image generation for a batch workflow where speed matters more than small quality differences.,ai.vision.image_generation,cheapest_first,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.9982,0.9982,0.0,1.0,False,3,0.04,0.904,8.0,0.995,cheapest_first matched the zero-regret ASM-TOPSIS choice for this request.
9,I need image generation for a batch workflow where speed matters more than small quality differences.,ai.vision.image_generation,fastest_first,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.9982,0.9982,0.0,1.0,False,3,0.04,0.904,8.0,0.995,fastest_first matched the zero-regret ASM-TOPSIS choice for this request.
9,I need image generation for a batch workflow where speed matters more than small quality differences.,ai.vision.image_generation,highest_quality_first,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.9982,0.9982,0.0,1.0,False,3,0.04,0.904,8.0,0.995,highest_quality_first matched the zero-regret ASM-TOPSIS choice for this request.
9,I need image generation for a batch workflow where speed matters more than small quality differences.,ai.vision.image_generation,highest_reliability_first,google/imagen-3@3.0,Imagen 3,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.4797,0.9982,0.5185,0.4806,False,3,0.04,0.72,10.0,0.999,highest_reliability_first optimized a narrower rule and missed the preference-weighted best feasible service.
9,I need image generation for a batch workflow where speed matters more than small quality differences.,ai.vision.image_generation,random,google/imagen-3@3.0,Imagen 3,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.4797,0.9982,0.5185,0.4806,False,3,0.04,0.72,10.0,0.999,random optimized a narrower rule and missed the preference-weighted best feasible service.
10,I need web search with the strongest answer quality for a research agent; cost is secondary.,tool.data.search,asm_topsis,exa/search-api@v1,Exa Search,exa/search-api@v1,Exa Search,0.6342,0.6342,0.0,1.0,False,2,0.003,0.95,0.6,0.997,Selected by constraint filtering plus preference-weighted TOPSIS.
10,I need web search with the strongest answer quality for a research agent; cost is secondary.,tool.data.search,weighted_average,exa/search-api@v1,Exa Search,exa/search-api@v1,Exa Search,0.6342,0.6342,0.0,1.0,False,2,0.003,0.95,0.6,0.997,weighted_average matched the zero-regret ASM-TOPSIS choice for this request.
10,I need web search with the strongest answer quality for a research agent; cost is secondary.,tool.data.search,cheapest_first,tavily/search-api@v1,Tavily Search,exa/search-api@v1,Exa Search,0.3658,0.6342,0.2684,0.5768,False,2,0.001,0.92,0.8,0.998,cheapest_first optimized a narrower rule and missed the preference-weighted best feasible service.
10,I need web search with the strongest answer quality for a research agent; cost is secondary.,tool.data.search,fastest_first,exa/search-api@v1,Exa Search,exa/search-api@v1,Exa Search,0.6342,0.6342,0.0,1.0,False,2,0.003,0.95,0.6,0.997,fastest_first matched the zero-regret ASM-TOPSIS choice for this request.
10,I need web search with the strongest answer quality for a research agent; cost is secondary.,tool.data.search,highest_quality_first,exa/search-api@v1,Exa Search,exa/search-api@v1,Exa Search,0.6342,0.6342,0.0,1.0,False,2,0.003,0.95,0.6,0.997,highest_quality_first matched the zero-regret ASM-TOPSIS choice for this request.
10,I need web search with the strongest answer quality for a research agent; cost is secondary.,tool.data.search,highest_reliability_first,tavily/search-api@v1,Tavily Search,exa/search-api@v1,Exa Search,0.3658,0.6342,0.2684,0.5768,False,2,0.001,0.92,0.8,0.998,highest_reliability_first optimized a narrower rule and missed the preference-weighted best feasible service.
10,I need web search with the strongest answer quality for a research agent; cost is secondary.,tool.data.search,random,tavily/search-api@v1,Tavily Search,exa/search-api@v1,Exa Search,0.3658,0.6342,0.2684,0.5768,False,2,0.001,0.92,0.8,0.998,random optimized a narrower rule and missed the preference-weighted best feasible service.
11,I need cheap web search for a high-volume enrichment job.,tool.data.search,asm_topsis,tavily/search-api@v1,Tavily Search,tavily/search-api@v1,Tavily Search,0.9487,0.9487,0.0,1.0,False,2,0.001,0.92,0.8,0.998,Selected by constraint filtering plus preference-weighted TOPSIS.
11,I need cheap web search for a high-volume enrichment job.,tool.data.search,weighted_average,tavily/search-api@v1,Tavily Search,tavily/search-api@v1,Tavily Search,0.9487,0.9487,0.0,1.0,False,2,0.001,0.92,0.8,0.998,weighted_average matched the zero-regret ASM-TOPSIS choice for this request.
11,I need cheap web search for a high-volume enrichment job.,tool.data.search,cheapest_first,tavily/search-api@v1,Tavily Search,tavily/search-api@v1,Tavily Search,0.9487,0.9487,0.0,1.0,False,2,0.001,0.92,0.8,0.998,cheapest_first matched the zero-regret ASM-TOPSIS choice for this request.
11,I need cheap web search for a high-volume enrichment job.,tool.data.search,fastest_first,exa/search-api@v1,Exa Search,tavily/search-api@v1,Tavily Search,0.0513,0.9487,0.8974,0.0541,False,2,0.003,0.95,0.6,0.997,fastest_first optimized a narrower rule and missed the preference-weighted best feasible service.
11,I need cheap web search for a high-volume enrichment job.,tool.data.search,highest_quality_first,exa/search-api@v1,Exa Search,tavily/search-api@v1,Tavily Search,0.0513,0.9487,0.8974,0.0541,False,2,0.003,0.95,0.6,0.997,highest_quality_first optimized a narrower rule and missed the preference-weighted best feasible service.
11,I need cheap web search for a high-volume enrichment job.,tool.data.search,highest_reliability_first,tavily/search-api@v1,Tavily Search,tavily/search-api@v1,Tavily Search,0.9487,0.9487,0.0,1.0,False,2,0.001,0.92,0.8,0.998,highest_reliability_first matched the zero-regret ASM-TOPSIS choice for this request.
11,I need cheap web search for a high-volume enrichment job.,tool.data.search,random,exa/search-api@v1,Exa Search,tavily/search-api@v1,Tavily Search,0.0513,0.9487,0.8974,0.0541,False,2,0.003,0.95,0.6,0.997,random optimized a narrower rule and missed the preference-weighted best feasible service.
12,"I need a scraper for many simple pages, so cost dominates.",tool.data.scraping,asm_topsis,jina/reader@v1,Jina Reader,jina/reader@v1,Jina Reader,0.9999,0.9999,0.0,1.0,False,2,0,0.5,2.0,0.996,Selected by constraint filtering plus preference-weighted TOPSIS.
12,"I need a scraper for many simple pages, so cost dominates.",tool.data.scraping,weighted_average,jina/reader@v1,Jina Reader,jina/reader@v1,Jina Reader,0.9999,0.9999,0.0,1.0,False,2,0,0.5,2.0,0.996,weighted_average matched the zero-regret ASM-TOPSIS choice for this request.
12,"I need a scraper for many simple pages, so cost dominates.",tool.data.scraping,cheapest_first,jina/reader@v1,Jina Reader,jina/reader@v1,Jina Reader,0.9999,0.9999,0.0,1.0,False,2,0,0.5,2.0,0.996,cheapest_first matched the zero-regret ASM-TOPSIS choice for this request.
12,"I need a scraper for many simple pages, so cost dominates.",tool.data.scraping,fastest_first,jina/reader@v1,Jina Reader,jina/reader@v1,Jina Reader,0.9999,0.9999,0.0,1.0,False,2,0,0.5,2.0,0.996,fastest_first matched the zero-regret ASM-TOPSIS choice for this request.
