source,source_url,entry_id,name,title,description,repository_url,category,pricing,sla_rate_limit,quality_benchmark,payment,provenance,security_trust,all_core_value_classes,structured_value_classes,machine_actionable_value_classes,evidence
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,5809,cambridge-dict-mcp-server,Dictionary Server,,https://github.com/meowrain/cambridge-dict-mcp-server,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...n"", ""category"": ""developer-tools"", ""description"": """", ""github"": {""archived"": false, ""contributors_count"": 3, ""forks_count"": 1, ""full_name"": ""... | security_trust: ...ry"": ""developer-tools"", ""description"": """", ""github"": {""archived"": false, ""contributors_count"": 3, ""forks_count"": 1, ""full_name"": ""meowrain/camb..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,2841,mcp-servers,MCP Servers Multi-Agent AI Infrastructure,,https://github.com/FrankGenGo/mcp-servers,research-and-data,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ..., ""category"": ""research-and-data"", ""description"": """", ""github"": {""archived"": false, ""contributors_count"": 2, ""forks_count"": 0, ""full_name"": ""... | security_trust: ..."": ""research-and-data"", ""description"": """", ""github"": {""archived"": false, ""contributors_count"": 2, ""forks_count"": 0, ""full_name"": ""FrankGenGo/mc..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,365,alphaguts,alphaguts,A minecraft alpha 1.2.6 server API using Retro MCP,https://github.com/amir16yp/alphaguts,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...""A minecraft alpha 1.2.6 server API using Retro MCP"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 1, ""full_name"": ""... | security_trust: ...t alpha 1.2.6 server API using Retro MCP"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 1, ""full_name"": ""amir16yp/alph..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,14633,plumed2-mcp-server,PLUMED2 MCP Server / PLUMED2 MCP æå¡å¨,"PLUMED2 Smart Input Generator - An MCP-based assistant for molecular dynamics enhanced sampling configurations that automatically generates optimized PLUMED input files, supporting metadynamics, umbrella sampling, and other enhanced sampling methods with built-in syntax validation and performance optimization.",https://github.com/PhelanShao/plumed2-mcp-server,research-and-data,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...-in syntax validation and performance optimization."", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 2, ""full_name"": ""... | security_trust: ...validation and performance optimization."", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 2, ""full_name"": ""PhelanShao/pl..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,10983,Google MCP Remote,Google MCP Remote,,https://github.com/vakharwalad23/google-mcp-remote,cloud-platforms,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ..., ""category"": ""cloud-platforms"", ""description"": null, ""github"": {""archived"": false, ""contributors_count"": 2, ""forks_count"": 3, ""full_name"": ""... | security_trust: ..."": ""cloud-platforms"", ""description"": null, ""github"": {""archived"": false, ""contributors_count"": 2, ""forks_count"": 3, ""full_name"": ""vakharwalad23..."
glama,https://glama.ai/api/mcp/v1/servers,h9tihqkqlv,Arthas MCP Proxy,Arthas MCP Proxy,"Enables dynamic SSH connection to servers for real-time JVM diagnostics using Arthas, allowing operations like thread dump, heap inspection, and method watching through MCP tools.",https://github.com/narcissux/arthas-mcp-proxy,hosting:hybrid,absent,absent,structured_unverified,absent,machine_actionable,structured_unverified,False,3,1,"provenance: ...""name"": ""Arthas MCP Proxy"", ""namespace"": ""narcissux"", ""repository"": {""url"": ""https://github.com/narcissux/arthas-mcp-proxy""}, ""slug"": ""arthas-mcp..."
official_mcp_registry,https://registry.modelcontextprotocol.io/v0/servers,ac.tandem/docs-mcp,ac.tandem/docs-mcp,,"Remote MCP server for Tandem docs, install guides, SDKs, workflows, and agent setup help.",,,absent,absent,absent,absent,machine_actionable,absent,False,1,1,"provenance: ... ""streamable-http"", ""url"": ""https://tandem.ac/mcp""}], ""repository"": {""source"": ""github"", ""url"": ""https://github.com/frumu-ai/tandem""}, ""version"":..."
official_mcp_registry,https://registry.modelcontextprotocol.io/v0/servers,ai.donethat/donethat,ai.donethat/donethat,DoneThat,"Privacy-first work tracking with summaries, reports, coaching, and AI-ready long-term memory.",,,absent,absent,absent,absent,machine_actionable,absent,False,1,1,"provenance: ..."": ""https://mcp.donethat.ai/""}], ""title"": ""DoneThat"", ""version"": ""1.0.0"", ""websiteUrl"": ""https://donethat.ai""}}..."
official_mcp_registry,https://registry.modelcontextprotocol.io/v0/servers,ai.haymon/database,ai.haymon/database,,"Database MCP server for MySQL, MariaDB, PostgreSQL & SQLite",,,absent,absent,absent,absent,machine_actionable,absent,False,1,1,"provenance: ...ue"": ""stdio""}], ""registryType"": ""oci"", ""runtimeHint"": ""docker"", ""transport"": {""type"": ""stdio""}}, {""environmentVariables"": [{""default"": ""127.0..."
glama,https://glama.ai/api/mcp/v1/servers,o49qrr56ih,mcp-patent,mcp-patent,"MCP server for USPTO patent prior-art search, enabling keyword search, ranking, and date filtering via Claude, Cursor, or Windsurf.",https://github.com/caiuschrom-a11y/mcp-patent,hosting:hybrid,absent,absent,structured_unverified,absent,machine_actionable,structured_unverified,False,3,1,"provenance: ...""name"": ""mcp-patent"", ""namespace"": ""caiuschrom-a11y"", ""repository"": {""url"": ""https://github.com/caiuschrom-a11y/mcp-patent""}, ""slug"": ""mcp-patent..."
official_mcp_registry,https://registry.modelcontextprotocol.io/v0/servers,ai.filegraph/document-processing,ai.filegraph/document-processing,,"Extract text from documents, manipulate PDFs, and perform OCR on images.",,,absent,absent,absent,absent,machine_actionable,absent,False,1,1,"provenance: ...ype"": ""sse"", ""url"": ""https://api.filegraph.ai/mcp""}], ""repository"": {""source"": ""github"", ""url"": ""https://github.com/filegraph/docconvert""}, ""vers..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,10601,notify-completion-mcp-server,notify-completion-mcp-server,The MCP server that provides notifications when AI agents complete long-running tasks. This allows you to leave your desktop without forgetting about tasks.,https://github.com/nakat-t/notify-completion-mcp-server,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ... leave your desktop without forgetting about tasks."", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""... | security_trust: ... desktop without forgetting about tasks."", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""nakat-t/notif..."
official_mcp_registry,https://registry.modelcontextprotocol.io/v0/servers,ai.adramp/google-ads,ai.adramp/google-ads,,"Google Ads MCP server — manage campaigns, keywords, and metrics.",,,absent,absent,absent,absent,machine_actionable,absent,False,1,1,"provenance: ... ""streamable-http"", ""url"": ""https://mcp.adramp.ai""}], ""repository"": {""source"": ""github"", ""url"": ""https://github.com/stylemi-co/adramp""}, ""version..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,14492,mixelpixx_Google-Search-MCP-Server,Version 2.0 is here,Mirror of,https://github.com/MCP-Mirror/mixelpixx_Google-Search-MCP-Server,research-and-data,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...ry"": ""research-and-data"", ""description"": ""Mirror of"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""... | security_trust: ...rch-and-data"", ""description"": ""Mirror of"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""MCP-Mirror/mi..."
mcp_atlas,https://mcpatlas.dev/browse,mcp_atlas:68d72b4af335,semgrep/mcp-server-semgrep,semgrep/mcp-server-semgrep,"s"",""dependencies"",""scanning"",""sca""],""capabilities"":{""tools"":[""test_project"",""list_issues"",""get_issue"",""list_projects""],""resources"":[]},""compatibility"":[""claude-desktop"",""claude-code"",""cursor""],""pricing"":""freemium"",""pricingNote"":""Free tier for open source. Paid plans for private repos and teams."",""li",https://github.com/semgrep/mcp-server-semgrep,curated_registry,human_readable,absent,human_readable,human_readable,machine_actionable,human_readable,False,1,1,"pricing: ...ty\"":[\""claude-desktop\"",\""claude-code\"",\""cursor\""],\""pricing\"":\""freemium\"",\""pricingNote\"":\""Free tier for open source. Paid plans for priv... | quality_benchmark: ...ams.\"",\""license\"":\""Apache-2.0\"",\""featured\"":false,\""verified\"":false,\""dateAdded\"":\""2026-03-01\"",\""lastUpdated\"":\""2026-03-01\"",\""qualitySc... | payment: ...munity rules free. Pro rules and team features require subscription.\"",\""license\"":\""LGPL-2.1\"",\""featured\"":false,\""verified\"":false,\""dateAdded\""... | provenance: ...ng\"":\""freemium\"",\""pricingNote\"":\""Free tier for open source. Paid plans for private repos and teams.\"",\""license\"":\""Apache-2.0\"",\""feature... | security_trust: ...en source. Paid plans for private repos and teams.\"",\""license\"":\""Apache-2.0\"",\""featured\"":false,\""verified\"":false,\""dateAdded\"":\""2026-03-..."
glama,https://glama.ai/api/mcp/v1/servers,e44wf5bviq,obscura-mcp,obscura-mcp,"An MCP server adapter for Obscura, a lightweight Rust headless browser for scraping and AI agent automation.",https://github.com/Metadrama/obscura-mcp,"author:official,hosting:local-only",absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...{""attributes"": [""author:official"", ""hosting:local-only""], ""description"": ""An MCP server adapter for Obs... | security_trust: ...}, ""slug"": ""obscura-mcp"", ""spdxLicense"": {""name"": ""MIT License"", ""url"": ""https://spdx.org/licenses/MIT.json""}, ""tools"": [], ""url"": ""https://gl..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,9564,remote-mcp-server,remote-mcp-server,This is an example of a remote MCP server.,https://github.com/dmd0822/remote-mcp-server,cloud-platforms,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...ption"": ""This is an example of a remote MCP server."", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""... | security_trust: ...is is an example of a remote MCP server."", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""dmd0822/remot..."
glama,https://glama.ai/api/mcp/v1/servers,p8bmfqc87q,memtrace,memtrace,"Memtrace is a persistent memory layer for coding agents, built as a bi‑temporal structural knowledge graph over your codebase (AST‑driven symbols and relationships, plus temporal evolution and cross‑service API topology)",https://github.com/syncable-dev/memtrace-public,hosting:local-only,absent,absent,structured_unverified,absent,machine_actionable,structured_unverified,False,3,1,"provenance: ...7q"", ""name"": ""memtrace"", ""namespace"": ""syncable-dev"", ""repository"": {""url"": ""https://github.com/syncable-dev/memtrace-public""}, ""slug"": ""memtrace..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,4909,uncover-mcp,Uncover MCP,uncover mcp server,https://github.com/Co5mos/uncover-mcp,research-and-data,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...earch-and-data"", ""description"": ""uncover mcp server"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""... | security_trust: ...ata"", ""description"": ""uncover mcp server"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""Co5mos/uncove..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,4657,js-mcp-server,Linkup Model Context Protocol,Javascript version of the Linkup MCP server.,https://github.com/LinkupPlatform/js-mcp-server,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...tegory"": ""developer-tools"", ""description"": ""Javascript version of the Linkup MCP server."", ""github"": {""archived"": false, ""contributors_count"":... | security_trust: ...script version of the Linkup MCP server."", ""github"": {""archived"": false, ""contributors_count"": 4, ""forks_count"": 2, ""full_name"": ""LinkupPlatfor..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,8845,agentic-mcp-client,Agentic MCP Client,"A standalone agent runner that executes tasks using MCP (Model Context Protocol) tools via Anthropic Claude, AWS BedRock and OpenAI APIs. It enables AI agents to run autonomously in cloud environments and interact with various systems securely.",https://github.com/peakmojo/agentic-mcp-client,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...onments and interact with various systems securely."", ""github"": {""archived"": false, ""contributors_count"": 2, ""forks_count"": 4, ""full_name"": ""... | security_trust: ... interact with various systems securely."", ""github"": {""archived"": false, ""contributors_count"": 2, ""forks_count"": 4, ""full_name"": ""peakmojo/agen..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,11584,openapi-mcp-server,OpenAPI MCP Server,fork of openapi-mcp-server v1.2.0-beta04,https://github.com/asabya/openapi-mcp-server,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...ription"": ""fork of openapi-mcp-server v1.2.0-beta04"", ""github"": {""archived"": false, ""contributors_count"": 5, ""forks_count"": 1, ""full_name"": ""... | security_trust: ...fork of openapi-mcp-server v1.2.0-beta04"", ""github"": {""archived"": false, ""contributors_count"": 5, ""forks_count"": 1, ""full_name"": ""asabya/openap..."
official_mcp_registry,https://registry.modelcontextprotocol.io/v0/servers,ai.datamerge/mcp,ai.datamerge/mcp,DataMerge MCP,"B2B data enrichment for 375M+ companies: legal entities, corporate hierarchies, and contacts.",,,human_readable,absent,absent,absent,machine_actionable,human_readable,False,1,1,"pricing: ... at https://app.datamerge.ai (20 credits on signup, no credit card required). Format: Bearer YOUR_API_KEY"", ""isRequired"": true, ""isSecret"": t... | provenance: ...ttps://mcp.datamerge.ai""}], ""title"": ""DataMerge MCP"", ""version"": ""1.0.0""}}... | security_trust: ...emotes"": [{""headers"": [{""description"": ""Your DataMerge API key — get one free at https://app.datamerge.ai (20 credits on signup, no credit car..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,3588,vidu-mcp-server,Vidu MCP Server,MCP server for Vidu video generation API,https://github.com/el-el-san/vidu-mcp-server,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...ription"": ""MCP server for Vidu video generation API"", ""github"": {""archived"": false, ""contributors_count"": 2, ""forks_count"": 1, ""full_name"": ""... | security_trust: ...MCP server for Vidu video generation API"", ""github"": {""archived"": false, ""contributors_count"": 2, ""forks_count"": 1, ""full_name"": ""el-el-san/vid..."
official_mcp_registry,https://registry.modelcontextprotocol.io/v0/servers,ai.example4/xmp4,ai.example4/xmp4,xmp4 — Semantic Code Intelligence,"See how any OSS library is really used — real source, tests, callers. Python, TS, Rust, Java, Go+.",,,absent,absent,absent,absent,machine_actionable,absent,False,1,1,"provenance: ...ption"": ""See how any OSS library is really used — real source, tests, callers. Python, TS, Rust, Java, Go+."", ""name"": ""ai.example4/xmp4"", ""re..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,6076,GBD-MCP-Server,GBD-MCP-Server,,https://github.com/JackKuo666/GBD-MCP-Server,research-and-data,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ..., ""category"": ""research-and-data"", ""description"": """", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""... | security_trust: ..."": ""research-and-data"", ""description"": """", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""JackKuo666/GB..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,3801,pixeltable-mcp-server,Multimodal Model Context Protocol Server,A multimodal mcp server,https://github.com/pixeltable/pixeltable-mcp-server,research-and-data,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...-and-data"", ""description"": ""A multimodal mcp server"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 4, ""full_name"": ""... | security_trust: ... ""description"": ""A multimodal mcp server"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 4, ""full_name"": ""pixeltable/pi..."
glama,https://glama.ai/api/mcp/v1/servers,ye4xxr7qiu,Packrift MCP Server,Packrift MCP Server,"Enables AI agents to search a Shopify packaging-supplies catalog, get live pricing and inventory, recommend boxes, estimate shipping, and generate checkout URLs.",https://github.com/Packrift/packrift-mcp,"author:official,hosting:remote-capable",human_readable,absent,structured_unverified,human_readable,machine_actionable,machine_actionable,False,3,2,"pricing: ... search a Shopify packaging-supplies catalog, get live pricing and inventory, recommend boxes, estimate shipping, and generate checkout URLs.""... | payment: ...tory, recommend boxes, estimate shipping, and generate checkout URLs."", ""environmentVariablesJsonSchema"": {""properties"": {""SHOPIFY_PACKRIFT_TOK... | provenance: ...{""attributes"": [""author:official"", ""hosting:remote-capable""], ""description"": ""Enables AI agents to sear... | security_trust: ...FY_PACKRIFT_TOKEN"": {""description"": ""Shopify Admin API token for Packrift store."", ""type"": ""string""}}, ""required"": [""SHOPIFY_PACKRIFT_TOKEN""..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,4451,mcp-ntopng,mcp-ntopng,An MCP server for network monitoring software ntopng,https://github.com/marcoeg/mcp-ntopng,monitoring,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...n MCP server for network monitoring software ntopng"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""... | security_trust: ...r for network monitoring software ntopng"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""marcoeg/mcp-n..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,6126,aws-boto3-mcp-private,aws-boto3-mcp-private,AWS Boto3 (Pyton) MCP Server,https://github.com/didier-durand/aws-boto3-mcp-private,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...ools"", ""description"": ""AWS Boto3 (Pyton) MCP Server"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""... | security_trust: ...cription"": ""AWS Boto3 (Pyton) MCP Server"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""didier-durand..."
official_mcp_registry,https://registry.modelcontextprotocol.io/v0/servers,ai.kawacode/mcp,ai.kawacode/mcp,Kawa Code MCP,"Intent tracking, decision recording, and team coordination for AI coding assistants",,,absent,absent,absent,absent,machine_actionable,absent,False,1,1,"provenance: ...es"": [{""identifier"": ""@kawacode/mcp"", ""registryType"": ""npm"", ""transport"": {""type"": ""stdio""}, ""version"": ""5.0.2""}], ""repository"": {""source""..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,13136,nextjs-k8s-remote-mcp-server,Nextjs K8s Remote Mcp Server,,https://github.com/kahirokunn/nextjs-k8s-remote-mcp-server,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...n"", ""category"": ""developer-tools"", ""description"": """", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""... | security_trust: ...ry"": ""developer-tools"", ""description"": """", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""kahirokunn/ne..."
