service_id,source_url,cache_path,cache_hit,fetched_chars,returned_chars,status,error
neon/serverless-postgres@v1,https://neon.tech,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\neon.tech.txt,True,3759,3759,cache_hit,
supabase/database@v2,https://supabase.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\supabase.com.txt,True,9712,4000,cache_hit,
circleci/cloud@v2,https://circleci.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\circleci.com.txt,True,4109,4000,cache_hit,
github/actions@v2,https://github.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\github.com.txt,True,5755,4000,cache_hit,
google/veo-3.1@3.1,https://cloud.google.com/vertex-ai,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\cloud.google.com_vertex-ai.txt,True,205460,4000,cache_hit,
kuaishou/kling-3.0@3.0,https://klingai.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\klingai.com.txt,True,24461,4000,cache_hit,
openai/text-embedding-3-large@3.0,https://openai.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\openai.com.txt,True,3919,3919,cache_hit,
voyageai/voyage-3-large@3.0,https://www.voyageai.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\www.voyageai.com.txt,True,2402,2402,cache_hit,
resend/email-api@v1,https://resend.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\resend.com.txt,True,8393,4000,cache_hit,
twilio/sendgrid@v3,https://sendgrid.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\sendgrid.com.txt,True,10295,4000,cache_hit,
browserbase/api@v1,https://browserbase.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\browserbase.com.txt,True,6013,4000,cache_hit,
steel/browser@v1,https://steel.dev,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\steel.dev.txt,True,1498,1498,cache_hit,
firecrawl/scrape@v1,https://firecrawl.dev,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\firecrawl.dev.txt,True,3441,3441,cache_hit,
jina/reader@v1,https://jina.ai,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\jina.ai.txt,True,2528,2528,cache_hit,
openai/text-embedding-3-large@3.0,https://openai.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\openai.com.txt,True,3919,3919,cache_hit,
voyageai/voyage-3-large@3.0,https://www.voyageai.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\www.voyageai.com.txt,True,2402,2402,cache_hit,
discord/api@v10,https://discord.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\discord.com.txt,True,4368,4000,cache_hit,
slack/web-api@v2,https://slack.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\slack.com.txt,True,12015,4000,cache_hit,
browserbase/api@v1,https://browserbase.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\browserbase.com.txt,True,6013,4000,cache_hit,
steel/browser@v1,https://steel.dev,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\steel.dev.txt,True,1498,1498,cache_hit,
pinecone/index@v3,https://www.pinecone.io,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\www.pinecone.io.txt,True,78101,4000,cache_hit,
qdrant/cloud@v1,https://qdrant.tech,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\qdrant.tech.txt,True,6489,4000,cache_hit,
resend/email-api@v1,https://resend.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\resend.com.txt,True,8393,4000,cache_hit,
twilio/sendgrid@v3,https://sendgrid.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\sendgrid.com.txt,True,10295,4000,cache_hit,
airtable/api@v1,https://airtable.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\airtable.com.txt,True,4679,4000,cache_hit,
google/sheets-api@v4,https://sheets.google.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\sheets.google.com.txt,True,11851,4000,cache_hit,
resend/email-api@v1,https://resend.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\resend.com.txt,True,8393,4000,cache_hit,
twilio/sendgrid@v3,https://sendgrid.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\sendgrid.com.txt,True,10295,4000,cache_hit,
